shard,id,name,verdict,score,auto_lock,events,coverage_h,span_h,gaps_gt_2h,empty_desc,title_ar_pct,title_latin_pct,desc_ar_pct,feed_country,issues,warnings,preview_1,preview_2
mena-other,Thikrayat Tv.eg,Thikrayat Tv.eg,REVIEW,84,0,58,48.0,48.0,0,58,34.5,65.5,0.0,eg,,EMPTY_DESC=58(100%); LOW_TITLE_DIVERSITY=19%,Nobody's Boy: Remi,Abnaa El Ghad 3
mena-other,TLCArabia.us@SD,TLC HD,PASS,100,1,53,41.77,41.77,0,0,100.0,0.0,100.0,,,,ويلكام تو باثفيل:ىم غانا لوز ماي مايند,مضاعفة أعداد الأفراد مع ديريكوس:الحلقة 7
mena-other,Travel.sa,Travel.sa,PASS,100,1,47,47.0,47.0,0,0,100.0,0.0,100.0,sa,,,بناء آلاسكا:بيلدرز بيغن كونستراكشن,بناء آلاسكا:ايه هيليكوبتر دروب
mena-other,TRT.Arabiya.ae,TRT Arabiya,REVIEW,84,0,79,41.5,41.5,0,79,0.0,100.0,0.0,ae,,EMPTY_DESC=79(100%); LOW_TITLE_DIVERSITY=15%,We Have A Stop,News
mena-other,TRT.Kurdî.ae,TRT Kurdî,NO_EPG,65,0,0,0.0,0.0,0,0,0.0,0.0,0.0,ae,NO_PROGRAMMES,,,
mena-other,TRT.World.ae,TRT World,REVIEW,84,0,91,48.5,48.5,0,91,0.0,100.0,0.0,ae,,EMPTY_DESC=91(100%); LOW_TITLE_DIVERSITY=18%; DUPLICATE_TIMELINE_GROUP=2; DUPLICATE_TIMELINE_UNRELATED,Bigger Than Five,Business News
mena-other,TV5.Monde.ae,TV5 Monde,REVIEW,84,0,69,46.57,48.78,1,69,5.8,100.0,0.0,ae,,EMPTY_DESC=69(100%); GAPS_GT_2H=1/TOTAL=2.2h,ESCAPADES EN SUISSE ITALIENNE,VROUM
mena-other,TWR.ARABIC.ae,TWR ARABIC,NO_EPG,65,0,0,0.0,0.0,0,0,0.0,0.0,0.0,ae,NO_PROGRAMMES,,,
mena-other,Télé.Tchad.ae,Télé Tchad,NO_EPG,65,0,0,0.0,0.0,0,0,0.0,0.0,0.0,ae,NO_PROGRAMMES,,,
mena-other,Utv.eg,Utv.eg,REVIEW,92,0,15,13.75,13.75,0,15,60.0,40.0,0.0,eg,,EMPTY_DESC=15(100%),برنامج,Saadaet Al Magnoun
