xmltv_id,channel_name,source,candidate_count,winner_source,receiver_canonical_id,now_status,now_title,now_desc,epg_snapshot_utc
beINSports3.qa@MENA,beINSPORTS3,bein.com,2,bein.com,beIN.Sports.3.qa,STALE_FEED,,,2026-09-19T19:04:23.767797+00:00
beINSports3.qa@MENA,beIN SPORTS 3,beinsports.com,2,bein.com,beIN.Sports.3.qa,STALE_FEED,,,2026-09-19T19:04:23.767797+00:00
beINSports4.qa@MENA,beINSPORT4,bein.com,1,bein.com,beIN.Sports.4.qa,STALE_FEED,,,2026-09-19T19:04:23.767797+00:00
beINSports4KHDR.qa,beINSPORTS4KHDR,bein.com,1,bein.com,beINSports4KHDR.qa,STALE_RELEASE_MISSING_ID,,,2026-09-19T19:04:23.767797+00:00
beINSports5.qa@MENA,beINSPORTS5,bein.com,1,bein.com,beIN.Sports.5.qa,STALE_FEED,,,2026-09-19T19:04:23.767797+00:00
beINSports6.qa@MENA,beINSPORTS6,bein.com,1,bein.com,beIN.Sports.6.qa,STALE_FEED,,,2026-09-19T19:04:23.767797+00:00
beINSports7.qa@MENA,beINSPORTS7,bein.com,1,bein.com,beIN.Sports.7.qa,STALE_FEED,,,2026-09-19T19:04:23.767797+00:00
beINSports8.qa@MENA,beINSPORTS8,bein.com,1,bein.com,beIN.Sports.8.qa,STALE_FEED,,,2026-09-19T19:04:23.767797+00:00
beINSports9.qa@MENA,beINSPORTS9,bein.com,2,bein.com,beIN.Sports.9.qa,STALE_FEED,,,2026-09-19T19:04:23.767797+00:00
beINSports9.qa@MENA,beIN SPORTS 9,beinsports.com,2,bein.com,beIN.Sports.9.qa,STALE_FEED,,,2026-09-19T19:04:23.767797+00:00
beINSportsAFC.qa@SD,beIN SPORTS AFC,beinsports.com,1,beinsports.com,beINSportsAFC.qa@SD,STALE_RELEASE_MISSING_ID,,,2026-09-19T19:04:23.767797+00:00
beINSportsAFC1.qa@SD,beIN SPORTS 1 AFC,beinsports.com,1,beinsports.com,beINSportsAFC1.qa@SD,STALE_RELEASE_MISSING_ID,,,2026-09-19T19:04:23.767797+00:00
beINSportsAFC2.qa@SD,beIN SPORTS 2 AFC,beinsports.com,1,beinsports.com,beINSportsAFC2.qa@SD,STALE_RELEASE_MISSING_ID,,,2026-09-19T19:04:23.767797+00:00
beINSportsAFC3.qa@SD,beIN SPORTS 3 AFC,beinsports.com,1,beinsports.com,beINSportsAFC3.qa@SD,STALE_RELEASE_MISSING_ID,,,2026-09-19T19:04:23.767797+00:00
beINSportsMax1.qa@MENA,beINSPORTSMAX1,bein.com,2,bein.com,beIN.Sports.MAX1.qa,STALE_FEED,,,2026-09-19T19:04:23.767797+00:00
beINSportsMax1.qa@MENA,beIN SPORTS MAX 1,beinsports.com,2,bein.com,beIN.Sports.MAX1.qa,STALE_FEED,,,2026-09-19T19:04:23.767797+00:00
beINSportsMax2.qa@MENA,beINSPORTSMAX2,bein.com,2,bein.com,beIN.Sports.MAX2.qa,STALE_FEED,,,2026-09-19T19:04:23.767797+00:00
beINSportsMax2.qa@MENA,beIN SPORTS MAX 2,beinsports.com,2,bein.com,beIN.Sports.MAX2.qa,STALE_FEED,,,2026-09-19T19:04:23.767797+00:00
beINSportsMax3.qa@MENA,beINSPORTSMAX3,bein.com,2,bein.com,beIN.Sports.MAX3.qa,STALE_FEED,,,2026-09-19T19:04:23.767797+00:00
